"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","0","0.0-0.0","9l17povdy8","23","textures_list3","","","",""
"","","","","","html-button-response","1","51414","0.0-1.0","9l17povdy8","23","textures_list3","51413","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","53930","0.0-2.0","9l17povdy8","23","textures_list3","1511","","",""
"","","","","","html-button-response","3","255116","0.0-3.0","9l17povdy8","23","textures_list3","201187","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top: auto; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles like this one (hold up smooth tile to show them).
                <br><br> In front of you is a box with 9 texture tiles layed out in 3 rows of three. Please take a moment to feel each of these texture tiles as I explain your task.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones you are feeling now.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole surface of the tile.
                <br> And some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> Your task is to rate how uniform the texture feels on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7. Please make your rating based on your initial intuitions for each texture.
                <br><br> Please be sure to feel the entire texture tile as you make your ratings and use the full range of the scale in your ratings.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","258332","0.0-4.0","9l17povdy8","23","textures_list3","3216","<p>You have been assigned to <strong>textures_list3</strong>.</p>
               <p>Press any key to begin the experiment.</p>","enter",""
"","","","","","survey-text","5","296125","0.0-5.0","9l17povdy8","23","textures_list3","37791","","{""Q0"":""6""}","D67"
"","","","","","survey-text","6","317029","0.0-6.0","9l17povdy8","23","textures_list3","20902","","{""Q0"":""6""}","D60"
"","","","","","survey-text","7","341884","0.0-7.0","9l17povdy8","23","textures_list3","24854","","{""Q0"":""5""}","D15"
"","","","","","survey-text","8","360292","0.0-8.0","9l17povdy8","23","textures_list3","18406","","{""Q0"":""3""}","D53"
"","","","","","survey-text","9","378972","0.0-9.0","9l17povdy8","23","textures_list3","18678","","{""Q0"":""5""}","D109"
"","","","","","survey-text","10","394036","0.0-10.0","9l17povdy8","23","textures_list3","15062","","{""Q0"":""6""}","D98"
"","","","","","survey-text","11","407564","0.0-11.0","9l17povdy8","23","textures_list3","13527","","{""Q0"":""2""}","D38"
"","","","","","survey-text","12","433236","0.0-12.0","9l17povdy8","23","textures_list3","25670","","{""Q0"":""6""}","D30"
"","","","","","survey-text","13","449844","0.0-13.0","9l17povdy8","23","textures_list3","16606","","{""Q0"":""5""}","D40"
"","","","","","survey-text","14","473260","0.0-14.0","9l17povdy8","23","textures_list3","23414","","{""Q0"":""5""}","D10"
"","","","","","survey-text","15","489308","0.0-15.0","9l17povdy8","23","textures_list3","16047","","{""Q0"":""2""}","D14"
"","","","","","survey-text","16","501587","0.0-16.0","9l17povdy8","23","textures_list3","12278","","{""Q0"":""4""}","D19"
"","","","","","survey-text","17","526843","0.0-17.0","9l17povdy8","23","textures_list3","25255","","{""Q0"":""5""}","D85"
"","","","","","survey-text","18","543155","0.0-18.0","9l17povdy8","23","textures_list3","16310","","{""Q0"":""6""}","D37"
"","","","","","survey-text","19","564787","0.0-19.0","9l17povdy8","23","textures_list3","21630","","{""Q0"":""6""}","D27"
"","","","","","survey-text","20","584779","0.0-20.0","9l17povdy8","23","textures_list3","19991","","{""Q0"":""6""}","D23"
"","","","","","survey-text","21","602427","0.0-21.0","9l17povdy8","23","textures_list3","17647","","{""Q0"":""5""}","D100"
"","","","","","survey-text","22","618683","0.0-22.0","9l17povdy8","23","textures_list3","16254","","{""Q0"":""2""}","D52"
"","","","","","survey-text","23","648555","0.0-23.0","9l17povdy8","23","textures_list3","29870","","{""Q0"":""3""}","D48"
"","","","","","survey-text","24","675546","0.0-24.0","9l17povdy8","23","textures_list3","26990","","{""Q0"":""5""}","D46"
"","","","","","survey-text","25","688610","0.0-25.0","9l17povdy8","23","textures_list3","13062","","{""Q0"":""7""}","D50"
"","","","","","survey-text","26","709362","0.0-26.0","9l17povdy8","23","textures_list3","20750","","{""Q0"":""5""}","D39"
"","","","","","survey-text","27","733866","0.0-27.0","9l17povdy8","23","textures_list3","24502","","{""Q0"":""6""}","D13"
"","","","","","survey-text","28","757682","0.0-28.0","9l17povdy8","23","textures_list3","23814","","{""Q0"":""5""}","D22"
"","","","","","survey-text","29","775050","0.0-29.0","9l17povdy8","23","textures_list3","17366","","{""Q0"":""5""}","D108"
"","","","","","survey-text","30","802378","0.0-30.0","9l17povdy8","23","textures_list3","27326","","{""Q0"":""5""}","D90"
"","","","","","survey-text","31","821441","0.0-31.0","9l17povdy8","23","textures_list3","19062","","{""Q0"":""6""}","D95"
"","","","","","survey-text","32","850633","0.0-32.0","9l17povdy8","23","textures_list3","29190","","{""Q0"":""4""}","D61"
"","","","","","survey-text","33","866425","0.0-33.0","9l17povdy8","23","textures_list3","15790","","{""Q0"":""5""}","D29"
"","","","","","survey-text","34","885185","0.0-34.0","9l17povdy8","23","textures_list3","18758","","{""Q0"":""5""}","D41"
"","","","","","survey-text","35","915865","0.0-35.0","9l17povdy8","23","textures_list3","30678","","{""Q0"":""7""}","D76"
"","","","","","survey-text","36","936057","0.0-36.0","9l17povdy8","23","textures_list3","20190","","{""Q0"":""4""}","D1"
"","","","","","survey-text","37","968353","0.0-37.0","9l17povdy8","23","textures_list3","32294","","{""Q0"":""5""}","D107"
"","","","","","survey-text","38","994016","0.0-38.0","9l17povdy8","23","textures_list3","25662","","{""Q0"":""5""}","D82"
"","","","","","survey-text","39","1016136","0.0-39.0","9l17povdy8","23","textures_list3","22118","","{""Q0"":""4""}","D47*"
"","","","","","survey-text","40","1033584","0.0-40.0","9l17povdy8","23","textures_list3","17446","","{""Q0"":""2""}","D55"
"","","","","","survey-text","41","1061664","0.0-41.0","9l17povdy8","23","textures_list3","28078","","{""Q0"":""1""}","D77"
